what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.google.gdt.eclipse.designer.hosted.2_2.webkit,2.4.2.r36x201110201837,"com.google.gdt.eclipse.designer.hosted.2_2.webkit",1385237229632
stopped,bundle,com.google.gdt.eclipse.designer.hosted.2_2,2.4.2.r36x201110201837,"com.google.gdt.eclipse.designer.hosted.2_2",1385237229632
stopped,bundle,com.google.gdt.eclipse.designer.hosted,2.4.2.r36x201110201837,"com.google.gdt.eclipse.designer.hosted",1385237229632
stopped,bundle,org.eclipse.wb.core.databinding.xml,1.2.0.r36x201110191535,"org.eclipse.wb.core.databinding.xml",1385237229632
stopped,bundle,org.eclipse.wb.core.databinding,1.2.0.r36x201110191514,"org.eclipse.wb.core.databinding",1385237229632
stopped,bundle,org.eclipse.wb.core.xml,1.2.0.r36x201110191535,"org.eclipse.wb.core.xml",1385237229632
stopped,bundle,org.eclipse.wb.css,1.2.0.r36x201110191525,"org.eclipse.wb.css",1385237229632
stopped,bundle,org.eclipse.wb.os.macosx,1.2.0.r36x201110191514,"org.eclipse.wb.os.macosx",1385237229632
stopped,bundle,org.eclipse.wb.core,1.2.0.r36x201110191514,"org.eclipse.wb.core",1385237229632
stopped,bundle,net.sourceforge.vrapper.eclipse,0.36.0,"net.sourceforge.vrapper.eclipse",1385237229634
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1385237229665
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1385237229665
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.305.v201104132127,"org.eclipse.wst.xsd.ui",1385237229665
stopped,bundle,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.ui",1385237229665
stopped,bundle,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui",1385237229665
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1385237229665
stopped,bundle,org.codebeamer.eclipse.mylyn.ui,3.1.0.v201106271722,"org.codebeamer.eclipse.mylyn.ui",1385237229665
stopped,bundle,com.vectrace.MercurialEclipse,1.8.1.v201104191217,"com.vectrace.MercurialEclipse",1385237229665
stopped,bundle,org.eclipse.wst.sse.ui,1.2.5.v201108191505,"org.eclipse.wst.sse.ui",1385237229665
stopped,bundle,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui",1385237229666
stopped,bundle,org.eclipse.egit.mylyn.ui,1.2.0.201112221803-r,"org.eclipse.egit.mylyn.ui",1385237229666
stopped,bundle,org.eclipse.egit.ui,1.2.0.201112221803-r,"org.eclipse.egit.ui",1385237229666
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1385237229671
stopped,bundle,org.eclipse.mylyn.commons.team,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.team",1385237229671
stopped,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1385237229673
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1385237229674
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1385237229674
stopped,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1385237229730
stopped,bundle,org.tigris.subversion.subclipse.ui,1.0.5,"org.tigris.subversion.subclipse.ui",1385237229730
stopped,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1385237229732
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1385237229732
stopped,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1385237229733
stopped,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1385237229733
stopped,bundle,org.codebeamer.eclipse.mylyn.core,3.1.0.v201106271722,"org.codebeamer.eclipse.mylyn.core",1385237230021
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.tasks.ui",1385237230021
stopped,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1385237230022
stopped,bundle,org.eclipse.mylyn.help.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.help.ui",1385237230022
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.bugs",1385237230022
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui",1385237230022
stopped,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1385237230022
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1385237230022
stopped,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1385237230022
stopped,bundle,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms",1385237230027
stopped,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1385237230027
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.ui",1385237230027
stopped,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1385237230027
stopped,bundle,com.interaktonline.jseclipse,1.5.5,"com.interaktonline.jseclipse",1385237230027
stopped,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1385237230027
stopped,bundle,org.eclipse.wst.common.snippets,1.2.2.v201101130441,"org.eclipse.wst.common.snippets",1385237230027
stopped,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1385237230027
